"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"56267","63.59612185","pp","mftA (pp) 83332.Rv0693","false","pp","mftA (pp) 83332.Rv0693",,,,,,,"0.845","0.985","0.908"
"56268","63.59612185","pp","mftA (pp) 83332.Rv0692","false","pp","mftA (pp) 83332.Rv0692",,,,,,,"0.845","0.985","0.908"
"56269","1867.13835026","pp","fadE33 (pp) 83332.Rv3565","false","pp","fadE33 (pp) 83332.Rv3565","0.096",,,,,,"0.853","0.864","0.057"
"56270","109.93174749","pp","fadE33 (pp) 83332.Rv2486","false","pp","fadE33 (pp) 83332.Rv2486","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56271","36.18231263","pp","fadE33 (pp) 83332.Rv3389c","false","pp","fadE33 (pp) 83332.Rv3389c","0.26","0.162","0.711","0.202",,,"0.061","0.844","0.06"
"56272","55.08277255","pp","fadE33 (pp) 83332.Rv0504c","false","pp","fadE33 (pp) 83332.Rv0504c","0.26",,"0.711","0.202",,,"0.061","0.821","0.06"
"56273","48.6106894","pp","fadE33 (pp) 83332.Rv0130","false","pp","fadE33 (pp) 83332.Rv0130","0.26",,"0.711","0.202",,,"0.086","0.826","0.06"
"56274","275.99292393","pp","fadE33 (pp) 83332.Rv3546","false","pp","fadE33 (pp) 83332.Rv3546","0.247",,"0.171","0.181",,,"0.06","0.792","0.634"
"56275","47.43006063","pp","echA9 (pp) fadE33","false","pp","echA9 (pp) fadE33","0.203",,"0.711","0.227",,,"0.06","0.951","0.756"
"56276","266.68558212","pp","fadE33 (pp) echA21","false","pp","fadE33 (pp) echA21","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56277","139.88208599","pp","hadC (pp) fadE33","false","pp","hadC (pp) fadE33","0.26",,"0.711","0.202",,,"0.061","0.821","0.06"
"56278","255.33716745","pp","fadE33 (pp) 83332.Rv3559c","false","pp","fadE33 (pp) 83332.Rv3559c","0.085","0.203","0.125","0.171",,,"0.634","0.772","0.046"
"56279","136.33034214","pp","echA6 (pp) fadE33","false","pp","echA6 (pp) fadE33","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56280","157.09194945","pp","fadE33 (pp) 83332.Rv0636","false","pp","fadE33 (pp) 83332.Rv0636","0.26",,"0.711","0.202",,,"0.061","0.821","0.06"
"56281","99.63921188","pp","fadE33 (pp) 83332.Rv3502c","false","pp","fadE33 (pp) 83332.Rv3502c","0.074","0.226","0.125","0.171",,,"0.045","0.851","0.757"
"56282","244.35539463","pp","Rv3538 (pp) fadE33","false","pp","Rv3538 (pp) fadE33","0.26","0.176","0.711","0.202",,,"0.061","0.91","0.447"
"56283","10.3007736","pp","fadE31 (pp) fadE33","false","pp","fadE31 (pp) fadE33","0.085","0.753",,,"0.115",,"0.86","0.996","0.899"
"56284","86.19352423","pp","fadE33 (pp) 83332.Rv0222","false","pp","fadE33 (pp) 83332.Rv0222","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56285","25.87621637","pp","fadE26 (pp) fadE33","false","pp","fadE26 (pp) fadE33",,"0.754",,,"0.067",,"0.044","0.893","0.571"
"56286","24.71816137","pp","fadE33 (pp) 83332.Rv3543c","false","pp","fadE33 (pp) 83332.Rv3543c","0.07","0.745",,,"0.077",,"0.044","0.939","0.754"
"56287","35.77437527","pp","fadE33 (pp) 83332.Rv0241c","false","pp","fadE33 (pp) 83332.Rv0241c","0.26",,"0.711","0.202",,,"0.061","0.821","0.06"
"56288","483.75864466","pp","fadE33 (pp) 83332.Rv0632c","false","pp","fadE33 (pp) 83332.Rv0632c","0.203","0.177","0.711","0.227",,,"0.06","0.839","0.057"
"56289","102.94343284","pp","fadE33 (pp) 83332.Rv1935c","false","pp","fadE33 (pp) 83332.Rv1935c","0.203","0.208","0.711","0.227",,,"0.086","0.853","0.08"
"56290","1563.60349516","pp","fadE33 (pp) 83332.Rv2524c","false","pp","fadE33 (pp) 83332.Rv2524c","0.26",,"0.711","0.202",,,"0.117","0.848","0.152"
"56291","4.5609562","pp","fadE32 (pp) fadE33","false","pp","fadE32 (pp) fadE33","0.085","0.259",,,,,"0.863","0.924","0.284"
"56292","41.09045627","pp","fadE33 (pp) 83332.Rv0971c","false","pp","fadE33 (pp) 83332.Rv0971c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56293","52.2927905","pp","echA8 (pp) fadE33","false","pp","echA8 (pp) fadE33","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56294","39.53227846","pp","fadE33 (pp) 83332.Rv0635","false","pp","fadE33 (pp) 83332.Rv0635","0.26",,"0.711","0.202",,,"0.061","0.821","0.06"
"56295","95.5447024","pp","fadE33 (pp) 83332.Rv3561","false","pp","fadE33 (pp) 83332.Rv3561","0.087",,"0.13",,,,"0.849","0.944","0.59"
"56296","65.13758608","pp","echA16 (pp) Rv3541c","false","pp","echA16 (pp) Rv3541c","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56297","233.612907","pp","echA16 (pp) 83332.Rv3094c","false","pp","echA16 (pp) 83332.Rv3094c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56298","773.32275373","pp","echA16 (pp) 83332.Rv2790c","false","pp","echA16 (pp) 83332.Rv2790c","0.218",,"0.288","0.242",,,"0.061","0.832","0.642"
"56299","55.13718346","pp","echA16 (pp) 83332.Rv3061c","false","pp","echA16 (pp) 83332.Rv3061c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56300","87.11293828","pp","echA16 (pp) fadE32","false","pp","echA16 (pp) fadE32","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56301","52.47733192","pp","echA16 (pp) fadE27","false","pp","echA16 (pp) fadE27","0.203",,"0.711","0.227",,,"0.06","0.814","0.061"
"56302","43.83890984","pp","echA16 (pp) 83332.Rv3389c","false","pp","echA16 (pp) 83332.Rv3389c","0.255",,"0.711","0.204","0.003",,"0.062","0.824","0.074"
"56303","57.25898978","pp","fadE12 (pp) echA16","false","pp","fadE12 (pp) echA16","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56304","263.14027571","pp","echA16 (pp) 83332.Rv1346","false","pp","echA16 (pp) 83332.Rv1346","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56305","48.22463686","pp","echA16 (pp) 83332.Rv0635","false","pp","echA16 (pp) 83332.Rv0635","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56306","33.88153426","pp","echA16 (pp) 83332.Rv2789c","false","pp","echA16 (pp) 83332.Rv2789c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56307","154.95952749","pp","echA16 (pp) 83332.Rv0468","false","pp","echA16 (pp) 83332.Rv0468","0.229","0.351","0.945","0.213","0.448",,"0.068","0.987","0.11"
"56308","265.53377966","pp","echA16 (pp) 83332.Rv3570c","false","pp","echA16 (pp) 83332.Rv3570c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56309","83.10044305","pp","echA16 (pp) 83332.Rv0504c","false","pp","echA16 (pp) 83332.Rv0504c","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56310","216.85009564","pp","echA16 (pp) 83332.Rv0752c","false","pp","echA16 (pp) 83332.Rv0752c","0.203",,"0.711","0.227",,,"0.06","0.819","0.088"
"56311","52.56914103","pp","echA16 (pp) 83332.Rv3139","false","pp","echA16 (pp) 83332.Rv3139","0.203",,"0.711","0.227",,,"0.06","0.854","0.264"
"56312","98.62294239","pp","echA16 (pp) fadE30","false","pp","echA16 (pp) fadE30","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56313","118.60294488","pp","echA16 (pp) 83332.Rv0636","false","pp","echA16 (pp) 83332.Rv0636","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56314","66.37581163","pp","echA16 (pp) 83332.Rv0130","false","pp","echA16 (pp) 83332.Rv0130","0.255",,"0.711","0.204","0.026",,"0.062","0.824","0.074"
"56315","53.71784026","pp","echA16 (pp) fadE28","false","pp","echA16 (pp) fadE28","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56316","271.40657239","pp","echA16 (pp) Rv3538","false","pp","echA16 (pp) Rv3538","0.255",,"0.711","0.204","0.006",,"0.062","0.824","0.074"
"56317","238.8493136","pp","echA16 (pp) 83332.Rv1715","false","pp","echA16 (pp) 83332.Rv1715","0.229","0.364","0.362","0.213","0.289",,"0.068","0.81","0.098"
"56318","45.74263463","pp","echA16 (pp) 83332.Rv0241c","false","pp","echA16 (pp) 83332.Rv0241c","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56319","82.27496828","pp","echA16 (pp) fadE31","false","pp","echA16 (pp) fadE31","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56320","1769.49387064","pp","echA16 (pp) 83332.Rv2524c","false","pp","echA16 (pp) 83332.Rv2524c","0.255",,"0.711","0.204",,,"0.151","0.866","0.223"
"56321","53.58897943","pp","echA16 (pp) fadE26","false","pp","echA16 (pp) fadE26","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56322","49.15271177","pp","fadE1 (pp) echA16","false","pp","fadE1 (pp) echA16","0.203",,"0.945","0.227",,,"0.06","0.969","0.183"
"56323","63.5407099","pp","echA16 (pp) 83332.Rv3543c","false","pp","echA16 (pp) 83332.Rv3543c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56324","40.96892913","pp","echA16 (pp) 83332.Rv0975c","false","pp","echA16 (pp) 83332.Rv0975c","0.203",,"0.945","0.227",,,"0.06","0.964","0.057"
"56325","34.68718062","pp","echA16 (pp) 83332.Rv3140","false","pp","echA16 (pp) 83332.Rv3140","0.203",,"0.945","0.227",,,"0.06","0.964","0.057"
"56326","78.2755498","pp","echA16 (pp) fadE33","false","pp","echA16 (pp) fadE33","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56327","104.0836906","pp","echA16 (pp) 83332.Rv0637","false","pp","echA16 (pp) 83332.Rv0637","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56328","172.15677314","pp","fadE16 (pp) echA16","false","pp","fadE16 (pp) echA16","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56329","88.74190941","pp","echA16 (pp) 83332.Rv3573c","false","pp","echA16 (pp) 83332.Rv3573c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56330","1553.58948879","pp","pykA (pp) 83332.Rv3609c","false","pp","pykA (pp) 83332.Rv3609c","0.094",,"0.945",,,,"0.126","0.952",
"56331","3421.48895977","pp","pykA (pp) 83332.Rv0733","false","pp","pykA (pp) 83332.Rv0733","0.081","0.359","0.945","0.069",,,"0.068","0.984","0.563"
"56332","1073.49621745","pp","pykA (pp) 83332.Rv2967c","false","pp","pykA (pp) 83332.Rv2967c","0.187",,"0.945","0.23",,,,"0.984","0.595"
"56333","1557.53912597","pp","pykA (pp) nrdF2","false","pp","pykA (pp) nrdF2",,,"0.945",,,,,"0.95","0.142"
"56334","3133.94368949","pp","pykA (pp) 83332.Rv1023","false","pp","pykA (pp) 83332.Rv1023",,"0.378","0.994",,,,"0.065","0.998","0.57"
"56335","296.03200914","pp","pykA (pp) 83332.Rv2241","false","pp","pykA (pp) 83332.Rv2241",,,"0.994",,,,"0.067","0.997","0.632"
"56336","1635.14705004","pp","pykA (pp) 83332.Rv3010c","false","pp","pykA (pp) 83332.Rv3010c","0.771","0.192",,"0.172",,,"0.163","0.982","0.886"
"56337","1512.23013567","pp","pykA (pp) 83332.Rv1437","false","pp","pykA (pp) 83332.Rv1437","0.815","0.477",,"0.241",,,"0.163","0.987","0.829"
"56338","551.92931716","pp","pykA (pp) 83332.Rv3509c","false","pp","pykA (pp) 83332.Rv3509c","0.079",,"0.945","0.08",,,"0.068","0.956","0.162"
"56339","2960.80745126","pp","pykA (pp) 83332.Rv0973c","false","pp","pykA (pp) 83332.Rv0973c","0.177",,"0.751",,,,,"0.793","0.073"
"56340","1043.89609095","pp","pykA (pp) 83332.Rv2988c","false","pp","pykA (pp) 83332.Rv2988c",,,"0.945",,,,"0.088","0.95","0.095"
"56341","1704.52605902","pp","pykA (pp) 83332.Rv1872c","false","pp","pykA (pp) 83332.Rv1872c","0.098",,"0.945",,,,,"0.971","0.469"
"56342","561.44089668","pp","pykA (pp) 83332.Rv2987c","false","pp","pykA (pp) 83332.Rv2987c",,,"0.945",,,,"0.087","0.949","0.067"
"56343","7543.1419686","pp","pykA (pp) 83332.Rv2455c","false","pp","pykA (pp) 83332.Rv2455c",,,"0.952",,,,"0.068","0.988","0.761"
"56344","2845.34821137","pp","pykA (pp) 83332.Rv0233","false","pp","pykA (pp) 83332.Rv0233",,,"0.945",,,,,"0.95","0.142"
"56345","490.958547","pp","pykA (pp) 83332.Rv2497c","false","pp","pykA (pp) 83332.Rv2497c",,"0.16","0.945",,,,"0.068","0.971","0.406"
"56346","1869.43044411","pp","pykA (pp) 83332.Rv1264","false","pp","pykA (pp) 83332.Rv1264",,,"0.945","0.182",,,"0.042","0.954","0.069"
"56347","1682.69638293","pp","pykA (pp) 83332.Rv0478","false","pp","pykA (pp) 83332.Rv0478","0.073",,"0.945",,,,"0.068","0.951","0.095"
"56348","1735.36788226","pp","pykA (pp) 83332.Rv0570","false","pp","pykA (pp) 83332.Rv0570","0.078",,"0.945",,,,"0.07","0.954","0.154"
"56349","658.27568491","pp","pykA (pp) 83332.Rv1438","false","pp","pykA (pp) 83332.Rv1438","0.831","0.281",,,,,"0.129","0.976","0.808"
"56350","1622.7019282","pp","pykA (pp) 83332.Rv1240","false","pp","pykA (pp) 83332.Rv1240","0.292",,"0.442","0.249",,,"0.131","0.962","0.878"
"56351","2842.68625069","pp","pykA (pp) 83332.Rv2215","false","pp","pykA (pp) 83332.Rv2215","0.085",,"0.92",,,,"0.075","0.957","0.45"
"56352","952.68356876","pp","pykA (pp) 83332.Rv0409","false","pp","pykA (pp) 83332.Rv0409","0.077",,"0.191",,,,"0.163","0.878","0.829"
"56353","3518.14261915","pp","pykA (pp) 83332.Rv0694","false","pp","pykA (pp) 83332.Rv0694","0.098",,"0.945",,,,,"0.951","0.103"
"56354","726.83284369","pp","pykA (pp) 83332.Rv0211","false","pp","pykA (pp) 83332.Rv0211","0.073",,"0.945",,,,"0.06","0.981","0.651"
"56355","1237.48429688","pp","gmk (pp) pykA","false","pp","gmk (pp) pykA","0.085",,"0.945",,,,,"0.947",
"56356","2392.15586332","pp","pykA (pp) 83332.Rv0462","false","pp","pykA (pp) 83332.Rv0462","0.105",,"0.9",,,,"0.068","0.959","0.569"
"56357","1449.35633082","pp","pykA (pp) 83332.Rv1625c","false","pp","pykA (pp) 83332.Rv1625c",,,"0.945","0.182",,,"0.042","0.954","0.069"
"56358","1002.78784172","pp","pykA (pp) 83332.Rv2583c","false","pp","pykA (pp) 83332.Rv2583c","0.071","0.165","0.945",,,,"0.044","0.963","0.242"
"56359","733.33408668","pp","pykA (pp) 83332.Rv2496c","false","pp","pykA (pp) 83332.Rv2496c","0.105","0.159","0.945",,,,"0.069","0.984","0.666"
"56360","1050.42816087","pp","pykA (pp) 83332.Rv2332","false","pp","pykA (pp) 83332.Rv2332","0.095",,"0.945","0.175",,,"0.147","0.992","0.829"
"56361","1882.77695823","pp","pykA (pp) 83332.Rv3051c","false","pp","pykA (pp) 83332.Rv3051c","0.078",,"0.945",,,,"0.07","0.954","0.154"
"56362","1587.61155809","pp","pykA (pp) korB","false","pp","pykA (pp) korB",,,"0.945",,,,"0.044","0.977","0.607"
"56363","434.37877456","pp","pykA (pp) 83332.Rv2047c","false","pp","pykA (pp) 83332.Rv2047c",,,"0.803",,,,"0.226","0.905","0.432"
"56364","2186.04687012","pp","pykA (pp) 83332.Rv2212","false","pp","pykA (pp) 83332.Rv2212",,,"0.805","0.182",,,"0.042","0.838","0.069"
"56365","1557.53912597","pp","pykA (pp) nrdF1","false","pp","pykA (pp) nrdF1",,,"0.837",,,,,"0.854","0.142"
"56366","1739.03240685","pp","pykA (pp) 83332.Rv1098c","false","pp","pykA (pp) 83332.Rv1098c","0.184",,"0.194","0.212",,,,"0.908","0.845"
"56367","220.67426734","pp","echA17 (pp) 83332.Rv3140","false","pp","echA17 (pp) 83332.Rv3140","0.203",,"0.945","0.227",,,"0.06","0.964","0.057"
"56368","564.95371629","pp","hadC (pp) echA17","false","pp","hadC (pp) echA17","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56369","229.15331974","pp","echA17 (pp) fadE33","false","pp","echA17 (pp) fadE33","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56370","545.67628651","pp","echA17 (pp) 83332.Rv1679","false","pp","echA17 (pp) 83332.Rv1679","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56371","727.11639542","pp","echA17 (pp) Rv3538","false","pp","echA17 (pp) Rv3538","0.255",,"0.711","0.204","0.008",,"0.062","0.824","0.074"
"56372","279.78634742","pp","echA17 (pp) fadE34","false","pp","echA17 (pp) fadE34","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56373","257.11663001","pp","fadE13 (pp) echA17","false","pp","fadE13 (pp) echA17","0.203",,"0.945","0.227",,,"0.06","0.964","0.057"
"56374","8505.03478394","pp","echA17 (pp) 83332.Rv2524c","false","pp","echA17 (pp) 83332.Rv2524c","0.255",,"0.711","0.204",,,"0.151","0.866","0.223"
"56375","295.1437397","pp","echA17 (pp) 83332.Rv0131c","false","pp","echA17 (pp) 83332.Rv0131c","0.203",,"0.945","0.227",,,"0.06","0.964","0.057"
"56376","186.03391101","pp","echA17 (pp) 83332.Rv3505","false","pp","echA17 (pp) 83332.Rv3505","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56377","180.679331","pp","echA17 (pp) 83332.Rv0241c","false","pp","echA17 (pp) 83332.Rv0241c","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56378","189.3582673","pp","echA17 (pp) fadE26","false","pp","echA17 (pp) fadE26","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56379","252.53437074","pp","echA17 (pp) 83332.Rv3543c","false","pp","echA17 (pp) 83332.Rv3543c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56380","262.40363027","pp","echA17 (pp) 83332.Rv3562","false","pp","echA17 (pp) 83332.Rv3562","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56381","210.68137122","pp","echA17 (pp) 83332.Rv2789c","false","pp","echA17 (pp) 83332.Rv2789c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56382","189.09440616","pp","hadA (pp) echA17","false","pp","hadA (pp) echA17","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56383","680.80908874","pp","echA17 (pp) 83332.Rv0752c","false","pp","echA17 (pp) 83332.Rv0752c","0.203",,"0.711","0.227",,,"0.068","0.825","0.112"
"56384","539.5090967","pp","echA17 (pp) 83332.Rv1715","false","pp","echA17 (pp) 83332.Rv1715","0.229","0.365","0.393","0.213","0.441",,"0.068","0.86","0.106"
"56385","8148.15085173","pp","echA17 (pp) 83332.Rv3042c","false","pp","echA17 (pp) 83332.Rv3042c",,,,,,,"0.821","0.821",
"56386","390.59912551","pp","echA17 (pp) fadE30","false","pp","echA17 (pp) fadE30","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56387","1040.04853846","pp","mbtN (pp) echA17","false","pp","mbtN (pp) echA17","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56388","163.76153669","pp","echA17 (pp) htdY","false","pp","echA17 (pp) htdY","0.255",,"0.711","0.204","0.004",,"0.062","0.824","0.074"
"56389","180.11831669","pp","echA17 (pp) 83332.Rv0504c","false","pp","echA17 (pp) 83332.Rv0504c","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56390","403.55759003","pp","echA17 (pp) 83332.Rv0468","false","pp","echA17 (pp) 83332.Rv0468","0.229","0.396","0.945","0.213","0.688",,"0.115","0.993","0.098"
"56391","200.25574514","pp","echA17 (pp) 83332.Rv0972c","false","pp","echA17 (pp) 83332.Rv0972c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56392","782.93391288","pp","echA17 (pp) 83332.Rv3570c","false","pp","echA17 (pp) 83332.Rv3570c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56393","174.5446944","pp","echA17 (pp) 83332.Rv3139","false","pp","echA17 (pp) 83332.Rv3139","0.203",,"0.711","0.227",,,"0.06","0.82","0.094"
"56394","496.63890752","pp","hadB (pp) echA17","false","pp","hadB (pp) echA17","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56395","202.35454869","pp","echA17 (pp) fadE28","false","pp","echA17 (pp) fadE28","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56396","678.43225023","pp","echA17 (pp) 83332.Rv3094c","false","pp","echA17 (pp) 83332.Rv3094c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56397","282.59446269","pp","echA17 (pp) Rv3541c","false","pp","echA17 (pp) Rv3541c","0.255",,"0.711","0.204",,,"0.062","0.824","0.074"
"56398","286.33774195","pp","echA17 (pp) fadE32","false","pp","echA17 (pp) fadE32","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56399","239.35097134","pp","htdZ (pp) echA17","false","pp","htdZ (pp) echA17","0.255",,"0.711","0.204","0.029",,"0.062","0.824","0.074"
"56400","174.64968922","pp","echA17 (pp) 83332.Rv3061c","false","pp","echA17 (pp) 83332.Rv3061c","0.203",,"0.711","0.227",,,"0.06","0.813","0.057"
"56401","263.38337117","pp","rpsA (pp) 83332.Rv0714","false","pp","rpsA (pp) 83332.Rv0714","0.748",,,"0.344",,,"0.083","0.916","0.517"
"56402","505.58440146","pp","rpsA (pp) rpoA","false","pp","rpsA (pp) rpoA","0.753","0.351",,"0.349",,,"0.068","0.961","0.668"
"56403","194.1867708","pp","rpsA (pp) rpmJ","false","pp","rpsA (pp) rpmJ","0.671",,,"0.301",,,"0.068","0.841","0.346"
"56404","260.67726691","pp","rpsA (pp) rplU","false","pp","rpsA (pp) rplU","0.742","0.177",,"0.344",,,"0.068","0.938","0.597"
"56405","4943.61230827","pp","rpsA (pp) 83332.Rv1253","false","pp","rpsA (pp) 83332.Rv1253","0.263",,"0.554","0.305",,,"0.043","0.777","0.141"
"56406","277.00829345","pp","rpsA (pp) tsf","false","pp","rpsA (pp) tsf","0.742",,,"0.344","0.03",,"0.163","0.934","0.595"
"56407","605.37437708","pp","rpsA (pp) rpmI","false","pp","rpsA (pp) rpmI","0.585",,,"0.344",,,"0.062","0.929","0.755"
"56408","2007.45449947","pp","rpsA (pp) 83332.Rv1631","false","pp","rpsA (pp) 83332.Rv1631","0.189",,,,,,"0.839","0.881","0.159"
"56409","963.0718958","pp","rpsA (pp) 83332.Rv0732","false","pp","rpsA (pp) 83332.Rv0732","0.692","0.482",,,,,"0.068","0.881","0.3"
"56410","218.33609337","pp","rpsA (pp) rpsI","false","pp","rpsA (pp) rpsI","0.663",,"0.54","0.399",,,,"0.962","0.641"
"56411","344.25478362","pp","rpsA (pp) 83332.Rv2785c","false","pp","rpsA (pp) 83332.Rv2785c","0.371",,"0.901","0.573",,,,"0.984","0.498"
"56412","172.16361585","pp","rpsA (pp) 83332.Rv2056c","false","pp","rpsA (pp) 83332.Rv2056c","0.658",,,"0.301",,,"0.068","0.842","0.377"
"56413","3970.33847322","pp","rpsA (pp) cmk","false","pp","rpsA (pp) cmk","0.081",,"0.345",,"0.897",,"0.163","0.973","0.566"
"56414","144.41700562","pp","rpsA (pp) rpsM","false","pp","rpsA (pp) rpsM","0.668",,,"0.421",,,"0.068","0.868","0.35"
"56415","325.51328022","pp","rpsA (pp) 83332.Rv0723","false","pp","rpsA (pp) 83332.Rv0723","0.67",,,"0.344",,,"0.069","0.921","0.656"
"56416","151.33459856","pp","rpsA (pp) 83332.Rv0652","false","pp","rpsA (pp) 83332.Rv0652","0.675",,,"0.344",,,,"0.945","0.767"
"56417","171.22115307","pp","rpmD (pp) rpsA","false","pp","rpmD (pp) rpsA","0.734",,,"0.438",,,,"0.903","0.403"
"56418","181.95387459","pp","rpsA (pp) 83332.Rv0705","false","pp","rpsA (pp) 83332.Rv0705","0.364",,"0.54","0.344",,,"0.086","0.868","0.365"
"56419","255.00382148","pp","rpsA (pp) 83332.Rv0700","false","pp","rpsA (pp) 83332.Rv0700","0.752","0.285",,"0.49",,,"0.086","0.939","0.378"
"56420","293.81683723","pp","rpsA (pp) 83332.Rv0706","false","pp","rpsA (pp) 83332.Rv0706","0.657",,,"0.344",,,"0.085","0.838","0.307"
"56421","182.37571985","pp","rpsA (pp) rpsD","false","pp","rpsA (pp) rpsD","0.777",,"0.918","0.591",,,"0.068","0.997","0.688"
"56422","456.88394356","pp","rpsA (pp) 83332.Rv2055c","false","pp","rpsA (pp) 83332.Rv2055c","0.411",,"0.54","0.412",,,"0.068","0.875","0.292"
"56423","352.85546921","pp","rpsA (pp) 83332.Rv2890c","false","pp","rpsA (pp) 83332.Rv2890c","0.748",,"0.54","0.98",,,"0.163","0.999","0.687"
"56424","202.93739702","pp","rpsA (pp) rpsK","false","pp","rpsA (pp) rpsK","0.679",,"0.842","0.555",,,"0.068","0.984","0.364"
"56425","1149.54666351","pp","rpsA (pp) 83332.Rv0667","false","pp","rpsA (pp) 83332.Rv0667","0.832","0.241",,"0.344",,,,"0.982","0.812"
"56426","365.60036912","pp","rpsA (pp) 83332.Rv0720","false","pp","rpsA (pp) 83332.Rv0720","0.757",,,"0.344",,,"0.071","0.896","0.384"
"56427","888.09837705","pp","rpsA (pp) 83332.Rv2681","false","pp","rpsA (pp) 83332.Rv2681","0.275","0.374","0.918","0.303",,,"0.163","0.976","0.113"
"56428","201.85754208","pp","rplP (pp) rpsA","false","pp","rplP (pp) rpsA","0.527",,,"0.344",,,"0.084","0.831","0.476"
"56429","268.08807289","pp","rpsE (pp) rpsA","false","pp","rpsE (pp) rpsA","0.787","0.207","0.961","0.437",,,"0.069","0.998","0.566"
"56430","1125.43672272","pp","rpsA (pp) pheT","false","pp","rpsA (pp) pheT","0.271","0.21",,,,,"0.355","0.83","0.597"
"56431","601.28346879","pp","rpsL (pp) rpsA","false","pp","rpsL (pp) rpsA","0.76",,"0.793","0.548",,,"0.059","0.995","0.811"
"56432","185.24431484","pp","rpsQ (pp) rpsA","false","pp","rpsQ (pp) rpsA","0.368",,"0.905","0.561",,,"0.084","0.992","0.751"
"56433","277.53221402","pp","rpsA (pp) rplS","false","pp","rpsA (pp) rplS","0.615",,,"0.344",,,"0.088","0.808","0.268"
"56434","1004.79958459","pp","rpsA (pp) 83332.Rv0685","false","pp","rpsA (pp) 83332.Rv0685","0.554",,,"0.301",,,"0.064","0.874","0.62"
"56435","2109.78732708","pp","rpsA (pp) 83332.Rv3211","false","pp","rpsA (pp) 83332.Rv3211","0.263",,"0.554","0.305",,,"0.043","0.777","0.141"
"56436","223.08471862","pp","rpsA (pp) 83332.Rv2909c","false","pp","rpsA (pp) 83332.Rv2909c","0.717","0.182",,"0.344",,,"0.116","0.949","0.684"
"56437","354.16495306","pp","rpsA (pp) 83332.Rv0709","false","pp","rpsA (pp) 83332.Rv0709","0.537",,,"0.344",,,"0.084","0.819","0.428"
"56438","676.6076457","pp","rpsA (pp) rplQ","false","pp","rpsA (pp) rplQ","0.766",,,"0.4",,,"0.068","0.918","0.454"
"56439","235.24053024","pp","rpsA (pp) rplM","false","pp","rpsA (pp) rplM","0.736",,,"0.344",,,,"0.934","0.65"
