"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"49059","7669.53326712","pp","dipZ (pp) 83332.Rv0449c","false","pp","dipZ (pp) 83332.Rv0449c",,,,,,,"0.068","0.832","0.828"
"49060","4279.69752009","pp","dipZ (pp) 83332.Rv2873","false","pp","dipZ (pp) 83332.Rv2873",,,,,,,"0.468","0.778","0.601"
"49061","7733.94137429","pp","dipZ (pp) 83332.Rv3913","false","pp","dipZ (pp) 83332.Rv3913","0.191",,"0.206","0.297",,,"0.269","0.771","0.415"
"49062","2625.16133483","pp","mraZ (pp) 83332.Rv1003","false","pp","mraZ (pp) 83332.Rv1003",,,,,,,,"0.824","0.825"
"49063","93.06394426","pp","mraZ (pp) 83332.Rv2164c","false","pp","mraZ (pp) 83332.Rv2164c","0.085",,,,,,"0.874","0.889","0.11"
"49064","1056.49431748","pp","Rv0923c (pp) 83332.Rv0924c","false","pp","Rv0923c (pp) 83332.Rv0924c","0.071",,,,,,"0.852","0.857",
"49065","4218.92939705","pp","Rv0923c (pp) 83332.Rv0266c","false","pp","Rv0923c (pp) 83332.Rv0266c","0.07",,"0.952",,,,"0.216","0.963","0.09"
"49066","3437.55415158","pp","moaE2 (pp) 83332.Rv0984","false","pp","moaE2 (pp) 83332.Rv0984","0.133","0.294","0.214",,"0.194",,"0.076","0.855","0.672"
"49067","5186.18913033","pp","moaE2 (pp) cysO","false","pp","moaE2 (pp) cysO","0.222","0.17","0.945","0.311",,,"0.068","0.993","0.758"
"49068","232.12439653","pp","moaE2 (pp) moaD2","false","pp","moaE2 (pp) moaD2","0.222","0.311","0.945","0.856",,,"0.068","0.999","0.803"
"49069","321.75380672","pp","moaE2 (pp) 83332.Rv3116","false","pp","moaE2 (pp) 83332.Rv3116","0.075","0.267","0.451","0.229","0.428",,"0.115","0.964","0.809"
"49070","4149.90817646","pp","moaE2 (pp) 83332.Rv3109","false","pp","moaE2 (pp) 83332.Rv3109","0.293","0.662","0.193","0.139",,,"0.084","0.955","0.764"
"49071","2048.04865621","pp","moaE2 (pp) 83332.Rv3206c","false","pp","moaE2 (pp) 83332.Rv3206c","0.075","0.251","0.451","0.229","0.338",,"0.115","0.868","0.406"
"49072","4848.0","pp","moaE2 (pp) 83332.Rv0864","false","pp","moaE2 (pp) 83332.Rv0864","0.282","0.53","0.454","0.131","0.098",,"0.857","0.987","0.522"
