"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"5667","53.96389099","pp","1352.AL014_02230 (pp) 1352.AL014_04685",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_04685",,,,,,,,,
"5668","281.61684543","pp","1352.AL014_02230 (pp) 1352.AL014_11020",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_11020",,,,,,,,,
"5669","364.70725036","pp","1352.AL014_02230 (pp) 1352.AL014_07570",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_07570",,,,,,,,,
"5670","120.58994672","pp","1352.AL014_02230 (pp) 1352.AL014_07575",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_07575",,,,,,,,,
"5671","1171.88510314","pp","1352.AL014_02230 (pp) 1352.AL014_05935",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_05935",,,,,,,,,
"5672","395.66534056","pp","1352.AL014_02230 (pp) 1352.AL014_09895",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_09895",,,,,,,,,
"5673","349.27525106","pp","1352.AL014_02230 (pp) 1352.AL014_09925",,"false","pp","1352.AL014_02230 (pp) 1352.AL014_09925",,,,,,,,,
"5674","1098.62787717","pp","1352.AL014_04685 (pp) 1352.AL014_07565",,"false","pp","1352.AL014_04685 (pp) 1352.AL014_07565",,,,,,,,,
"5675","605.93824102","pp","1352.AL014_04685 (pp) 1352.AL014_07570",,"false","pp","1352.AL014_04685 (pp) 1352.AL014_07570",,,,,,,,,
"5676","257.923172","pp","1352.AL014_04685 (pp) 1352.AL014_09895",,"false","pp","1352.AL014_04685 (pp) 1352.AL014_09895",,,,,,,,,
"5677","333.30216586","pp","1352.AL014_04685 (pp) 1352.AL014_09925",,"false","pp","1352.AL014_04685 (pp) 1352.AL014_09925",,,,,,,,,
"5678","1033.3871834","pp","1352.AL014_11020 (pp) 1352.AL014_14985",,"false","pp","1352.AL014_11020 (pp) 1352.AL014_14985",,,,,,,,,
"5679","144.54055937","pp","1352.AL014_11020 (pp) 1352.AL014_11655",,"false","pp","1352.AL014_11020 (pp) 1352.AL014_11655",,,,,,,,,
"5680","217.18880248","pp","1352.AL014_11020 (pp) 1352.AL014_15380",,"false","pp","1352.AL014_11020 (pp) 1352.AL014_15380",,,,,,,,,
"5681","24.50036301","pp","1352.AL014_07575 (pp) 1352.AL014_07580",,"false","pp","1352.AL014_07575 (pp) 1352.AL014_07580",,,,,,,,,
"5682","221.56791505","pp","1352.AL014_07575 (pp) 1352.AL014_08865",,"false","pp","1352.AL014_07575 (pp) 1352.AL014_08865",,,,,,,,,
"5683","185.14248771","pp","1352.AL014_07575 (pp) 1352.AL014_09535",,"false","pp","1352.AL014_07575 (pp) 1352.AL014_09535",,,,,,,,,
"5684","1096.41148744","pp","1352.AL014_09895 (pp) 1352.AL014_09925",,"false","pp","1352.AL014_09895 (pp) 1352.AL014_09925",,,,,,,,,
"5685","281.23954807","pp","1352.AL014_09925 (pp) 1352.AL014_09930",,"false","pp","1352.AL014_09925 (pp) 1352.AL014_09930",,,,,,,,,
"5686","344.71510041","pp","1352.AL014_09925 (pp) 1352.AL014_11020",,"false","pp","1352.AL014_09925 (pp) 1352.AL014_11020",,,,,,,,,
"5687","2314.60387975","pp","1352.AL014_09925 (pp) 1352.AL014_10130",,"false","pp","1352.AL014_09925 (pp) 1352.AL014_10130",,,,,,,,,
"5688","1072.18474398","pp","1352.AL014_09925 (pp) 1352.AL014_13925",,"false","pp","1352.AL014_09925 (pp) 1352.AL014_13925",,,,,,,,,
"5689","352.81792301","pp","1352.AL014_04890 (pp) 1352.AL014_10365",,"false","pp","1352.AL014_04890 (pp) 1352.AL014_10365",,,,,,,,,
"5690","215.1315161","pp","1352.AL014_04890 (pp) 1352.AL014_14325",,"false","pp","1352.AL014_04890 (pp) 1352.AL014_14325",,,,,,,,,
"5691","490.50145607","pp","1352.AL014_04890 (pp) 1352.AL014_10370",,"false","pp","1352.AL014_04890 (pp) 1352.AL014_10370",,,,,,,,,
"5692","663.6800399","pp","1352.AL014_04890 (pp) 1352.AL014_11715",,"false","pp","1352.AL014_04890 (pp) 1352.AL014_11715",,,,,,,,,
"5693","33.06040006","pp","1352.AL014_04890 (pp) 1352.AL014_15230",,"false","pp","1352.AL014_04890 (pp) 1352.AL014_15230",,,,,,,,,
"5694","2302.16649512","pp","1352.AL014_10370 (pp) 1352.AL014_10970",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_10970",,,,,,,,,
"5695","944.13360031","pp","1352.AL014_10370 (pp) 1352.AL014_11120",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_11120",,,,,,,,,
"5696","1230.96438847","pp","1352.AL014_10370 (pp) 1352.AL014_13420",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_13420",,,,,,,,,
"5697","876.96688688","pp","1352.AL014_10370 (pp) 1352.AL014_11575",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_11575",,,,,,,,,
"5698","344.19588646","pp","1352.AL014_10370 (pp) 1352.AL014_14325",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_14325",,,,,,,,,
"5699","486.66532993","pp","1352.AL014_10370 (pp) 1352.AL014_15075",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_15075",,,,,,,,,
"5700","408.21320133","pp","1352.AL014_10370 (pp) 1352.AL014_15230",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_15230",,,,,,,,,
"5701","694.36176679","pp","1352.AL014_10370 (pp) 1352.AL014_15355",,"false","pp","1352.AL014_10370 (pp) 1352.AL014_15355",,,,,,,,,
"5702","81.69123809","pp","1352.AL014_14875 (pp) 1352.AL014_14880",,"false","pp","1352.AL014_14875 (pp) 1352.AL014_14880",,,,,,,,,
"5703","58.80443417","pp","1352.AL014_14875 (pp) 1352.AL014_14885",,"false","pp","1352.AL014_14875 (pp) 1352.AL014_14885",,,,,,,,,
