"SUID","EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"29090","453.69655984993807","pp","208964.PA0265 (pp) 208964.PA1584","false","pp","208964.PA0265 (pp) 208964.PA1584",,,"0.965",,,,"0.965",
"29091","711.0397632498365","pp","208964.PA0265 (pp) 208964.PA1585","false","pp","208964.PA0265 (pp) 208964.PA1585",,,"0.928",,,,"0.928",
"29092","429.0331262461749","pp","208964.PA0265 (pp) 208964.PA2623","false","pp","208964.PA0265 (pp) 208964.PA2623",,,"0.928",,,,"0.928",
"29093","130.8565893991391","pp","208964.PA0265 (pp) 208964.PA3452","false","pp","208964.PA0265 (pp) 208964.PA3452",,,"0.8",,,,"0.8",
"29094","198.2282173279484","pp","208964.PA0265 (pp) 208964.PA2624","false","pp","208964.PA0265 (pp) 208964.PA2624",,,"0.8",,,,"0.8",
"29095","180.78592267517982","pp","208964.PA0265 (pp) 208964.PA4333","false","pp","208964.PA0265 (pp) 208964.PA4333",,,"0.928",,,,"0.928",
"29096","409.28383130731567","pp","208964.PA0265 (pp) 208964.PA5436","false","pp","208964.PA0265 (pp) 208964.PA5436",,,"0.928",,,,"0.928",
"29097","193.4058999797265","pp","208964.PA0265 (pp) 208964.PA5445","false","pp","208964.PA0265 (pp) 208964.PA5445",,,"0.963",,,,"0.963",
"29098","434.12832838309987","pp","208964.PA0265 (pp) 208964.PA5192","false","pp","208964.PA0265 (pp) 208964.PA5192",,,"0.928",,,,"0.928",
"29099","3616.0","pp","208964.PA3777 (pp) 208964.PA4042","false","pp","208964.PA3777 (pp) 208964.PA4042","0.883","0.399","0.8","0.327",,,"0.998","0.832"
"29100","1218.5029654862785","pp","208964.PA1598 (pp) 208964.PA5013","false","pp","208964.PA1598 (pp) 208964.PA5013",,,"0.9",,,"0.06","0.902",
"29101","210.9077048611604","pp","208964.PA1598 (pp) 208964.PA4397","false","pp","208964.PA1598 (pp) 208964.PA4397",,,"0.9",,,"0.077","0.948","0.485"
"29102","63.9432346544078","pp","208964.PA1598 (pp) 208964.PA4729","false","pp","208964.PA1598 (pp) 208964.PA4729",,"0.37","0.8",,,,"0.869",
"29103","635.1917183371947","pp","208964.PA1598 (pp) 208964.PA4730","false","pp","208964.PA1598 (pp) 208964.PA4730","0.374","0.782","0.322",,,,"0.985","0.854"
