"SUID","EdgeBetweenness","interaction","name","path length","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"22070","1351.09502529","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1779",,"false","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1779","0.103",,,,,,"0.069","0.85","0.836"
"22071","954.88780113","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1649",,"false","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1649","0.182",,,,,,"0.105","0.79","0.736"
"22072","685.53833967","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1517",,"false","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1517","0.208","0.17",,,,,"0.859","0.91","0.146"
"22073","1978.5644757","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1666",,"false","pp","1280.SAXN108_1516 (pp) 1280.SAXN108_1666","0.158",,,"0.174",,,"0.078","0.803","0.729"
"22074","267.7994596","pp","1280.SAXN108_1517 (pp) 1280.SAXN108_1518",,"false","pp","1280.SAXN108_1517 (pp) 1280.SAXN108_1518","0.181","0.776",,"0.838",,,"0.86","0.999","0.898"
"22075","186.41862228","pp","1280.SAXN108_1990 (pp) 1280.SAXN108_2511",,"false","pp","1280.SAXN108_1990 (pp) 1280.SAXN108_2511",,"0.289","0.936",,,,,"0.96","0.2"
"22076","846.68658564","pp","1280.SAXN108_1501 (pp) 1280.SAXN108_1538",,"false","pp","1280.SAXN108_1501 (pp) 1280.SAXN108_1538",,"0.725",,,,,,"0.78","0.233"
"22077","163.35438204","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2941",,"false","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2941",,"0.22",,,,,,"0.784","0.735"
"22078","380.86198994","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2901",,"false","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2901",,"0.238","0.058",,,,"0.05","0.907","0.881"
"22079","99.18754192","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2750",,"false","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2750",,"0.17","0.058",,,,,"0.898","0.881"
"22080","193.70353458","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2939",,"false","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2939",,,,,,,,"0.858","0.858"
"22081","527.03647878","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2925",,"false","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_2925","0.066",,,,,,,"0.841","0.837"
"22082","349.69319467","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_1857",,"false","pp","1280.SAXN108_1502 (pp) 1280.SAXN108_1857",,,,,,,,"0.798","0.798"
"22083","3082.0","pp","1280.SAXN108_0652 (pp) 1280.SAXN108_0653",,"false","pp","1280.SAXN108_0652 (pp) 1280.SAXN108_0653",,,,,,,"0.845","0.845",
"22084","454.30643313","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_2647",,"false","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_2647",,"0.733","0.127","0.306","0.006",,"0.13","0.848","0.087"
"22085","139.887963","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1982",,"false","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1982","0.416","0.778","0.936","0.306","0.122",,"0.859","0.999","0.978"
"22086","1193.07665026","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1985",,"false","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1985",,,,,,,"0.823","0.823",
"22087","1193.07665026","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1984",,"false","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1984",,,,,,,"0.848","0.852","0.066"
"22088","1193.07665026","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1983",,"false","pp","1280.SAXN108_1981 (pp) 1280.SAXN108_1983","0.279","0.275",,,,,"0.859","0.933","0.199"
"22089","1884.92334974","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_1985",,"false","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_1985",,,,,,,"0.823","0.823",
"22090","845.33549416","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_2646",,"false","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_2646",,"0.773","0.124","0.306","0.058",,"0.078","0.865","0.087"
"22091","1884.92334974","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_1983",,"false","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_1983","0.847","0.445",,,,,"0.876","0.988","0.063"
"22092","1884.92334974","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_1984",,"false","pp","1280.SAXN108_1982 (pp) 1280.SAXN108_1984",,,,,,,"0.848","0.849","0.045"
"22093","2.0","pp","1280.SAXN108_1508 (pp) 1280.SAXN108_1509",,"false","pp","1280.SAXN108_1508 (pp) 1280.SAXN108_1509",,,,,,,"0.845","0.845",
