"SUID","400667.A1S_3095","EdgeBetweenness","interaction","name","pp","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"1531","","893.709146","pp","272620.KPN_00611 (pp) 272620.KPN_02719","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02719",,"0.153","0.873",,,"0.062","0.916","0.269"
"1532","","57.63464165","pp","272620.KPN_00611 (pp) 272620.KPN_02663","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02663",,"0.394","0.873",,,,"0.954","0.454"
"1533","","348.98298983","pp","272620.KPN_00611 (pp) 272620.KPN_04401","","false","pp","272620.KPN_00611 (pp) 272620.KPN_04401",,,"0.873",,,,"0.873",
"1534","","484.59793749","pp","272620.KPN_00611 (pp) 272620.KPN_02662","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02662","0.111","0.26","0.9",,,,"0.964","0.514"
"1535","","402.42486137","pp","272620.KPN_00611 (pp) 272620.KPN_03746","","false","pp","272620.KPN_00611 (pp) 272620.KPN_03746",,"0.393","0.873",,,,"0.925","0.111"
"1536","","3889.30320674","pp","272620.KPN_00611 (pp) 272620.KPN_00645","","false","pp","272620.KPN_00611 (pp) 272620.KPN_00645",,,"0.873",,,"0.075","0.878",
"1537","","891.27476591","pp","272620.KPN_00611 (pp) 272620.KPN_02661","","false","pp","272620.KPN_00611 (pp) 272620.KPN_02661",,"0.165","0.873",,,,"0.896","0.097"
"1538","","877.28497146","pp","272620.KPN_00611 (pp) 272620.KPN_00615","","false","pp","272620.KPN_00611 (pp) 272620.KPN_00615","0.727","0.19",,,,"0.815","0.967","0.288"
"1539","","560.52531269","pp","272620.KPN_00611 (pp) 272620.KPN_00614","","false","pp","272620.KPN_00611 (pp) 272620.KPN_00614","0.886","0.754",,,,"0.808","0.999","0.817"
"1540","","265.82169997","pp","272620.KPN_00611 (pp) 272620.KPN_00613","","false","pp","272620.KPN_00611 (pp) 272620.KPN_00613","0.908","0.677","0.666","0.355",,"0.4","0.999","0.738"
